year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,10.6,10.2,10.0,15.3,7.9,9.8,7.9,8.4,8.2,10.9,10.3,16.4,13.9,8.8,9.6,9.0,9.2,13.5,9.6,9.7,9.7,7.9,8.2,7.7,9.4,9.6,8.6,8.0,99.0,9.5,7.6,8.8,8.6,7.8,7.5,9.0,10.6,8.9,7.1,8.1,15.9,11.1,13.9,10.5,11.2,10.9,11.4,9.5,7.2,7.9,10.7
1995,9.8,9.0,8.8,14.4,6.3,9.0,6.6,7.3,6.1,9.9,8.4,15.7,13.1,6.9,8.6,7.7,8.5,12.2,9.3,8.7,8.4,7.1,7.3,7.0,7.9,8.3,7.6,7.3,85.2,8.3,6.5,8.8,8.0,8.4,7.1,8.0,8.6,8.1,6.2,7.3,11.9,9.9,15.5,9.9,10.7,10.3,10.2,7.7,6.1,7.0,10.6
1999,10.8,8.6,8.2,14.8,6.4,8.2,5.8,6.7,6.6,8.7,7.8,18.9,12.1,7.0,8.1,7.9,7.1,10.9,9.1,8.6,7.5,6.2,6.8,6.8,7.8,8.1,7.4,7.5,82.3,7.9,5.9,8.0,7.3,8.5,6.6,7.8,6.8,7.6,6.1,7.5,10.2,9.1,14.7,9.1,9.6,10.0,9.2,7.2,7.5,6.7,9.9
2000,10.1,8.9,7.5,15.4,5.8,8.3,5.7,6.5,4.9,8.9,6.8,20.6,10.8,6.9,7.9,6.9,8.3,9.8,9.1,8.8,7.5,5.8,6.7,6.8,6.9,7.8,7.3,7.6,72.2,9.4,6,8,7.1,8.2,7.2,7.8,null,7.6,6,7.6,10.6,9.4,15.5,9.4,10.8,10,8.8,6.9,8.7,6.7,10
2001,9.4,8.1,7.6,14.3,6.5,8.2,5.4,6.5,6.2,9.3,6.1,19.6,11.2,7.2,7.9,7.1,7.5,9.0,8.4,8.6,7.0,6.2,6.7,6.6,6.5,7.5,7.1,7.9,69.6,8.5,6.4,7.6,7.6,7.4,6.5,7.2,null,7.5,5.8,8.1,9.9,8.9,13.5,9.1,10.2,9.8,8.8,7.0,7.9,6.5,10.0
2002,9.9,8.3,6.7,14.3,6.2,8.0,5.7,6.4,5.1,9.4,6.5,20.8,11.0,6.6,7.9,7.0,7.3,9.0,8.1,8.4,7.1,5.9,6.5,6.5,6.4,7.3,7.1,7.5,67.4,8.3,6.0,7.9,7.3,7.7,6.8,7.0,null,7.1,5.7,7.8,9.3,8.8,13.1,8.4,10.4,9.8,8.6,6.5,8.1,6.3,9.5
2003,9.6,8.1,6.5,13.4,6.1,7.8,5.5,6.0,5.1,9.0,7.0,22.0,10.9,6.5,7.1,6.9,6.9,9.1,8.2,8.4,6.9,5.6,6.3,6.3,6.2,7.2,7.2,7.0,63.9,8.1,5.8,6.9,6.8,7.4,7.1,6.7,null,7.2,5.9,7.8,9.0,8.4,11.9,8.1,10.2,9.7,8.4,6.5,7.5,6.2,9.3
2004, 9.4,8.5,6.7,13.4,6.4,7.4,5.8,6.1,5.2,9.0,7.9,22.6,10.8,6.2,7.8,6.9,7.0,8.8,8.0,8.6,6.9,6.5,6.2,6.0,6.1,7.1,7.5,7.1,62.1,8.0,8.0,5.9,7.4,6.8,7.3,6.9,6.6,6.5,8.1,5.9,7.7,8.2,8.4,11.4,8.0,9.9,9.4,8.3,6.5,7.5,6.2,9.3
2005,9.2,8.2,6.6,12.9,6.4,7.6,5.8,5.9,4.1,8.9,7.0,22.6,10.5,5.9,6.9,6.9,6.8,8.7,8.0,8.2,6.9,6.2,6.1,6.0,5.8,7.0,7.4,7.0,57.4,7.3,5.7,6.6,6.8,7.3,6.8,6.5,7.3,7.3,5.8,7.0,8.3,8.4,10.9,7.8,9.8,8.9,8.2,6.5,7.4,6.1,9.3
2006,9.2,8.2,6.5,12.4,6.3,7.2,5.5,5.9,4.0,8.6,7.3,21.9,10.1,6.2,7.0,6.7,6.8,8.4,null,7.8,6.6,5.9,5.9,6.0,5.7,6.9,7.4,6.8,52.1,7.2,5.5,6.8,6.9,7.3,6.7,6.3,7.3,7.3,5.7,6.6,7.8,8.0,10.6,7.69.2,8.6,7.8,6.5,7.3,6.0,9.3
2007,8.9,8.5,6.4,12,6.2,7.1,5.5,5.7,4.2,8.5,6.8,20.8,10,6.1,7,6.6,6.8,7.8,7.5,7.4,6.5,5.9,5.7,5.8,5.4,6.9,7.5,6.8,48.6,7.1,5.4,5.6,6.8,7,6.6,6.1,7.3,7.2,5.7,6.4,7.9,7.8,10.1,7.4,9.6,8.5,7.5,6.4,7.3,5.7,9
2008,8.6,8.4,6,10.6,6.7,7.4,5.4,5.5,4.1,8,6,19.1,9.5,5.9,8,6.5,6.7,7.9,6.8,7.4,5.9,5.7,5.6,5.4,5.1,6.8,7.6,6.9,42.3,6.8,5.4,4,6.6,6.9,6.5,6,7.1,6.9,5.5,6.1,7.3,7.7,9.4,7.3,9,7.9,7.2,6.3,7.1,5.6,8.6
2009,8.3,7.8,5.6,10.7,5.8,6.9,5.9,5.4,4.7,7.5,6.6,17.2,8.9,5.7,7.9,7,6.4,7.6,7.1,7.1,5.8,5.6,5.4,5.3,4.8,6.5,7.3,6.6,40.3,6.5,5,5,6.5,6.6,6.4,5.8,6.9,6.6,5.3,5.9,7.3,7.3,8.4,7.1,8.4,8.7,6.9,6,6.7,5.3,8
2010,8.2,8,5.9,10.8,5.8,6.9,5.6,5.2,7.6,7.3,7.3,17.6,8.8,5.7,6.3,6.9,6.4,7.4,6.9,7.1,5.7,5.6,5.5,5.3,4.9,6.5,7.4,6.6,38.3,7.3,5.1,7.7,6.5,6.6,6.5,5.8,7.2,6.5,5.3,5.8,7.4,7.3,8.8,7.1,8.5,9.3,6.8,6,6.7,5.3,7.6
2011,8.4,7.8,5.7,10.4,5.8,7,5.5,5.2,8.7,7.4,6.6,17.6,8.6,5.6,6.8,6.7,6.3,7.5,6.4,7.2,5.8,5.5,5.7,5.6,4.9,6.6,7.8,6.6,36.9,7.1,4.8,8,6.9,6.7,6.7,5.9,6.9,6.6,5.3,6,7.2,7.5,9,7.1,8.6,8.3,6.8,6.1,7.2,5.3,7.8
2012,8.2,7.2,5.6,10.9,6,6.8,5.2,5.8,8.4,7.2,6.5,17.5,8.2,5.8,6.7,6.8,6.3,7.2,5.7,7.3,5.6,5.5,5.6,5.6,5.8,6.5,7.8,6.7,35.1,6.8,4.9,6.9,7,6.6,6.6,5.8,6.9,6.6,5.5,6.1,7.4,7.5,8.8,7.3,8.4,8.2,6.8,6.3,7,5.4,7.6